label,summary
0,"this is adapted from a Jim Thompson novel for cryin' out loud! these are supposed to be marginal characters, not fashion models "
0,author seems mentally unstable I know that Tom Robbins has a loyal following. I started the book with high expectations.
1,spaetzle Noodles This type of spaetzle maker is easier to manuveur than the old press kind. it is
1,one cat would roll the ball with her paws and nose. the other would walk behind her and eat up whatever fell out 
1,"my Dell 8200 PC is running an addon USB 2 card. when I bought it a year ago, I thought 8 ports would"
1,"you're either a huge fan of Sarah Michelle Gellar, or you've seen the movie in the past and really liked it"
1,nice extras on the 300 DVD. good picture on blu-ray.
0,Too Mellow for Me I've always been a John Mellencamp fan. I bought this one on a whim
1,I need t's like this to get through my days at the barn with the horses!
1,a lawman makes a deal with a bandit to bring his murderous brother to justice. a simple story about the
1,"if you aren't a die-hard Family Guy fan, this isn't for you. this disc is filled"
0,a customer in the store gave it great reviews. my 10 month old loves elmo. he crawled
0,"my Heier lasted 6 years, and I wish I would have spent the extra money to buy one."
0,"the book contains nothing unique or original. it is safe and conforming, and devoid of originality. it lacks the pe"
1,this pump looks great with a skirt or slacks. it looks great with a skirt or slacks
0,way overated this band is one long joke. spinal taps warm up band.
0,Player is flawed and Digitalway does not support I was given the FL100 as a gift. if the player is connected to the
0,"this book reminds me of a religious sermon. the book is great for the religious right, not the general public."
0,"despite the title and initially engaging, gossipy style, this book bogs down in repetitive trivial details while failing to explore fascin"
1,the Outsiders The book was written by a 16 year old girl named S.E. Hinton. it takes place in Oklahoma
1,Global Groove Mask This CD has a great pulsating driving rhythm. the different musical sensations can bring the emotional force
1,all of the Shopaholic books are great but this one was not as good as the others. Becky is even more out of control
0,a bad re-edit of a fun film For some reason when it was released in the us this year they decided to edit out
1,"the pictures in the book have a special glossy cover, which makes them look very good. it's an excellent 'first book"
1,Sennheiser Headphones The unit works well and has a nice long cord.
0,this DVD Player looked good online and the reviews at the time were not that bad so I purchased it. this system does not allow you to
1,the authors' mastery of time-series methods is not obvious. I am skeptical about applicability of the proposed method.
0,the bottle smells acidic and chemically and the sent hardly last.
1,this book teems with terrifying images and situations which I won't describe so as not to spoil the suspense 
1,great movie - perfect for a slow Sunday afternoon or a could day when you are snowed in.
1,great value This book was very heart touching and blew every thing I thought I knew about the Holocaust out the water. great read for mature
0,"the beats are not innovative at all, and rappers with the same style as Doc Ock, are a dime a dozen"
0,the battery I received is not from APC as the picture and the description suggested.
1,good LIve Curtis This is the only live album I have and I like it alot. some of the Keyboards
1,a 3.4 amp motor this planer did not fail once. I put this machine to work on rough cut white oak with the blade
1,milk Gave this as a gift and she absolutely loved it.
1,"Rex Black has written about the process and management side of testing. this makes it an ideal complement to Cem Kaner's """
1,MY FAV BOOK This is by far my fav book. it's very sex in the city set in
0,these CLEP books are designed to refresh the memories of people who have a good knowledge base of the subject. for individuals such as
0,untitled I don't want to be harsh. essentially the only chapter I found useful was chapter 5.
1,"the selection of pieces is unusual and the performances are exquisite. the choir has a gorgeous sound, and the harp accompaniments are"
0,cheap copy The disk arrived in a plastic box used for CD's. the installation directons state that auto-run will begin
0,the book was nothing to write home about and certainly did not rank with anything by Erik Larson.
0,Currently I have over 20 hours in trying to understand and use this program. I have paid my computer support person over $125.
1,the roots of dubstep is a great combination of dubstep genres. it features cuts by many of the better known musicians
1,"the front zips open all the way, so you can access the stuff at the bottom of the pack as easily as the stuff on top "
1,the diet cure was so encouraging. the self test to identify my levels made this read a keeper.
0,"Harrison Ford was not at his best, I expected better. the characters were not well developed at the beginning of the story."
0,"""Memory Stick Error"" rises 1 month after I bought this camera. it works again, but I'm"
0,metal in it is extremely flimsy and does not hold discs securely.
1,this is one of the BEST books I've read. I have ordered this book for Christmas gifts for at least 15 friends and family members
1,"this game can really make you jump with fright,especially when you are really concentrating. graphics is absolutely great.B"
0,"the new girl is mean to Carrie and Amy through most of both movies. the movie was a big let down, the voice talent"
0,"in all Honesty this game has got great graphics, even better than the previous bond. the game play in this new bond com"
1,Ricky Van Shelton's voice is perfect for gospel music. the song choice's on this recording are great.
