label,title,content,text
0,Anyone who likes this better than the Pekinpah is a moron.,"All the pretty people in this film. Even the Rudy character played by Michael Madsen. This is adapted from a Jim Thompson novel for cryin' out loud! These are supposed to be marginal characters, not fashion models. Though McQueen and McGraw were attractive (but check out McQueen's crummy prison haircut) they were believable in the role. Baldwin and Bassinger seem like movie stars trying to act like hard cases. Action wise, the robbery scene in the Pekinpah version was about 100 times more exciting and suspe","Anyone who likes this better than the Pekinpah is a moron. All the pretty people in this film. Even the Rudy character played by Michael Madsen. This is adapted from a Jim Thompson novel for cryin' out loud! These are supposed to be marginal characters, not fashion models. Though McQueen and McGraw were attractive (but check out McQueen's crummy prison haircut) they were believable in the role. Baldwin and Bassinger seem like movie stars trying to act like hard cases. Action wise, the robbery scene in the Pekinpah version was about 100 times more exciting and suspe"
0,Author seems mentally unstable,"I know that Tom Robbins has a loyal following and I started the book with high expectations. However, I did not enjoy this book as it was too much work to follow his confused logic. I think that he was under the influence during most of time that he wrote.","Author seems mentally unstable I know that Tom Robbins has a loyal following and I started the book with high expectations. However, I did not enjoy this book as it was too much work to follow his confused logic. I think that he was under the influence during most of time that he wrote."
1,Spaetzle Noodles,This type of spaetzle maker is easier to manuveur than the old press kind and much easier on the hands. The difference is that this new spaetzle maker makes smaller noodles than the old. It is great for us elderly that don't have much strength left.,Spaetzle Noodles This type of spaetzle maker is easier to manuveur than the old press kind and much easier on the hands. The difference is that this new spaetzle maker makes smaller noodles than the old. It is great for us elderly that don't have much strength left.
1,Cool product until the cats lost it . . . .,"My cats seemed to be amused to work for their food. One cat would roll the ball with her paws and nose, and the other would walk behind her and eat up whatever fell out -- teamwork! I knew they'd dig this ball because I had already made something similar out of a plastic water bottle before that they liked a lot.A few weeks after getting this, though, the ball was never to be found again. I think it may have rolled down into the dark basement at some point and became one with the clutter.+1 for the adjustab","Cool product until the cats lost it . . . . My cats seemed to be amused to work for their food. One cat would roll the ball with her paws and nose, and the other would walk behind her and eat up whatever fell out -- teamwork! I knew they'd dig this ball because I had already made something similar out of a plastic water bottle before that they liked a lot.A few weeks after getting this, though, the ball was never to be found again. I think it may have rolled down into the dark basement at some point and became one with the clutter.+1 for the adjustab"
1,Works as expected,"I've had no problems running this with my Dell 8200 PC running Windows XP Home Edition which is running an addon USB 2 card, to which this hub (I have the 8 port version) is connected. When I bought it a year ago, I thought that 8 ports would be overkill and that 4 would be adequate, but I bought this unit anyway. Boy was I glad, right now 6 of the 8 are in use.","Works as expected I've had no problems running this with my Dell 8200 PC running Windows XP Home Edition which is running an addon USB 2 card, to which this hub (I have the 8 port version) is connected. When I bought it a year ago, I thought that 8 ports would be overkill and that 4 would be adequate, but I bought this unit anyway. Boy was I glad, right now 6 of the 8 are in use."
1,Not a bad deal...,"If you're considering purchasing this movie, I have to figure you're either a huge fan of Sarah Michelle Gellar, or you've seen the movie in the past and really liked it. Either that, or you're like me and you bought it as a gift for someone else, lol (although I did see this in the theater years ago and liked it). So there's not much use in reviewing the movie itself.As for the DVD release...you're not going to get anything in the way of extras (correct me if I'm wrong, but I think there's only a trailer).","Not a bad deal... If you're considering purchasing this movie, I have to figure you're either a huge fan of Sarah Michelle Gellar, or you've seen the movie in the past and really liked it. Either that, or you're like me and you bought it as a gift for someone else, lol (although I did see this in the theater years ago and liked it). So there's not much use in reviewing the movie itself.As for the DVD release...you're not going to get anything in the way of extras (correct me if I'm wrong, but I think there's only a trailer)."
1,Nice extras on the 300 DVD,"Good picture on blu-ray, but I don't know if it would be much different on DVD since the lighting in the movie is pretty dark.","Nice extras on the 300 DVD Good picture on blu-ray, but I don't know if it would be much different on DVD since the lighting in the movie is pretty dark."
0,Too Mellow for Me,"I've always been a John Mellencamp fan (all the way back to Jack and Diane). It's been a while since I've bought one of his albums, but I bought this one on a whim. I should have read some reviews first. I'm very disappointed. Cuttin' Heads and Peaceful World are ok songs, but there isn't a standout in the bunch. Too many of them are too mellow. Pass on this album if you like the older stuff.","Too Mellow for Me I've always been a John Mellencamp fan (all the way back to Jack and Diane). It's been a while since I've bought one of his albums, but I bought this one on a whim. I should have read some reviews first. I'm very disappointed. Cuttin' Heads and Peaceful World are ok songs, but there isn't a standout in the bunch. Too many of them are too mellow. Pass on this album if you like the older stuff."
1,just what I needed,I need t's like this to get through my days at the barn with the horses! They're great and thanks for the quick shipping.,just what I needed I need t's like this to get through my days at the barn with the horses! They're great and thanks for the quick shipping.
1,nasty,"In 1880s Australia, a lawman makes a deal with a bandit to bring his murderous brother to justice. Simple story about the brutality of frontier life has direction, cinematography and characters reminiscent of the best 60s spaghetti westerns such as ""Once Upon a Time in the West"" (1969). Viewers may also enjoy the similar-styled ""The Three Burials of Melquiades Estrada"" (2005) and ""No Country for Old Men"" (2007).","nasty In 1880s Australia, a lawman makes a deal with a bandit to bring his murderous brother to justice. Simple story about the brutality of frontier life has direction, cinematography and characters reminiscent of the best 60s spaghetti westerns such as ""Once Upon a Time in the West"" (1969). Viewers may also enjoy the similar-styled ""The Three Burials of Melquiades Estrada"" (2005) and ""No Country for Old Men"" (2007)."
1,"Yeah it's pricey, but it's pretty funny...","OK, if you aren't a die-hard Family Guy fan, if you don't like the jokes that go on for a little TOO long or the jokes that normally start with ""like that one time when Peter..."" this isn't for you...That aside, if you like all the side gags on family guy where they trail off to something that is completely off subject, this IS for you. To me, this disc is filled with the things Seth couldn't find space for in a Family Guy episode or that the FCC would have a stroke over if they did. I absolutely love Famil","Yeah it's pricey, but it's pretty funny... OK, if you aren't a die-hard Family Guy fan, if you don't like the jokes that go on for a little TOO long or the jokes that normally start with ""like that one time when Peter..."" this isn't for you...That aside, if you like all the side gags on family guy where they trail off to something that is completely off subject, this IS for you. To me, this disc is filled with the things Seth couldn't find space for in a Family Guy episode or that the FCC would have a stroke over if they did. I absolutely love Famil"
0,Not worth the money,"I'd give it a 0 if I could.I bought this toy last night after a customer in the store gave it great reviews. This toy is totally ridiculous. My 10 month old loves elmo. He has all of the other elmo dolls (hokey pokey, ymca, chicken dance, tickle me, rock n' roll, even the build a bear elmo) and a hand puppet and loves these. He looked at the tmx like it was having a seizure. He actually crawled away from it and didn't give it a second look. My six year old played with it for maybe a minute and then said ""Do","Not worth the money I'd give it a 0 if I could.I bought this toy last night after a customer in the store gave it great reviews. This toy is totally ridiculous. My 10 month old loves elmo. He has all of the other elmo dolls (hokey pokey, ymca, chicken dance, tickle me, rock n' roll, even the build a bear elmo) and a hand puppet and loves these. He looked at the tmx like it was having a seizure. He actually crawled away from it and didn't give it a second look. My six year old played with it for maybe a minute and then said ""Do"
0,You get waht you pay for...,"I've had mine for just over 6 months, and it crapped out. My Heier lasted 6 years, and I wish I would have spent the extra money to buy one.","You get waht you pay for... I've had mine for just over 6 months, and it crapped out. My Heier lasted 6 years, and I wish I would have spent the extra money to buy one."
0,"Sensible, average, but not innovative.","I'm pleased I bought this book. It provides a sensible and fairly exhaustive overview of the rise of the Nazis. But I'm also disappointed. The book contains nothing unique or original. In terms of fact and interpretation it is safe and conforming, and devoid of originality.Perhaps my standards are unrealistic, or maybe my expectation of a book by Professor Evans, a distinguished academic at Cambridge University, was too high. Either way I don't rate this book as a lofty contribution. It lacks the penetratin","Sensible, average, but not innovative. I'm pleased I bought this book. It provides a sensible and fairly exhaustive overview of the rise of the Nazis. But I'm also disappointed. The book contains nothing unique or original. In terms of fact and interpretation it is safe and conforming, and devoid of originality.Perhaps my standards are unrealistic, or maybe my expectation of a book by Professor Evans, a distinguished academic at Cambridge University, was too high. Either way I don't rate this book as a lofty contribution. It lacks the penetratin"
1,A great comfortable pump.,"This is a wonderfully comfortable and good looking pump especially if you're looking for a slightly wider toe box. It looks great with a skirt or slacks. My only complaint is that after finally accepting that a wide width is the most comfortable, and kindest to my feet, I can't find my size (6.5 W) in navy. I have the shoe in black. If anyone from Naturalizer is reading this message; how about making more sizes and colors in wide widths available?","A great comfortable pump. This is a wonderfully comfortable and good looking pump especially if you're looking for a slightly wider toe box. It looks great with a skirt or slacks. My only complaint is that after finally accepting that a wide width is the most comfortable, and kindest to my feet, I can't find my size (6.5 W) in navy. I have the shoe in black. If anyone from Naturalizer is reading this message; how about making more sizes and colors in wide widths available?"
0,way overated,this band is one long joke.aside from three songs this is spinal taps warm up band.i can't believe all the love they get.,way overated this band is one long joke.aside from three songs this is spinal taps warm up band.i can't believe all the love they get.
0,Player is flawed and Digitalway does not support,"I was given the FL100 as a gift and soon realized the product is flawed. If the player is connected to the PC and the battery dies, it will corrupt the internal memory and the player will not restart after replacing the battery. The player BIOS will initiate, however, once the internal memory check is complete the message ""Battery Low !!!"" will appear and it shuts down. The internal memory can be re-formatted but the player must be on to do so. I contacted Digitalway regarding this and they said, ""If the pl","Player is flawed and Digitalway does not support I was given the FL100 as a gift and soon realized the product is flawed. If the player is connected to the PC and the battery dies, it will corrupt the internal memory and the player will not restart after replacing the battery. The player BIOS will initiate, however, once the internal memory check is complete the message ""Battery Low !!!"" will appear and it shuts down. The internal memory can be re-formatted but the player must be on to do so. I contacted Digitalway regarding this and they said, ""If the pl"
0,Religious Tone,"I did not think that this book added a great deal of real information that wasn't just common sense. Also, parts of it reminded me of a religious sermon. This seemed to be out of place and totally unexpected. The book was not what I expected. This book is great for the religious right, not the general public.","Religious Tone I did not think that this book added a great deal of real information that wasn't just common sense. Also, parts of it reminded me of a religious sermon. This seemed to be out of place and totally unexpected. The book was not what I expected. This book is great for the religious right, not the general public."
0,As Muddy As the Whangpu,"Alas, despite the enticing title and initially engaging, gossipy style, this book bogs down in repetitive trivial details while failing to explore fasciniting topics to which it alludes (such as the international drug trade in the early 20th century and its links to Shanghai and to international arms trading after WWI). Little effort is made to identify individuals as they reappear in subsequent chapters or to present a coherent historical narrative. This is one of the very few books I have ever simply chos","As Muddy As the Whangpu Alas, despite the enticing title and initially engaging, gossipy style, this book bogs down in repetitive trivial details while failing to explore fasciniting topics to which it alludes (such as the international drug trade in the early 20th century and its links to Shanghai and to international arms trading after WWI). Little effort is made to identify individuals as they reappear in subsequent chapters or to present a coherent historical narrative. This is one of the very few books I have ever simply chos"
1,The Outsiders,"The book called The Outsiders was written by a 16 year old girl named S.E. Hinton. It takes place in Oklahoma. The main Greasers are Ponyboy, Dally, Sodapop,Darry, Johnnyboy,and the least ones are Two-bit and Steve. Ponyboy,Darry,and Sodapop are all brothers. They lost there parents in a car accident.Ponyboy,the youngest, and Johnnyboy , who is 16,get in some trouble with the Socs. The Socs are Cherry, Bob, Randy and Marcia. In the book one of the guys dies... but you have the read the book on your own.The ","The Outsiders The book called The Outsiders was written by a 16 year old girl named S.E. Hinton. It takes place in Oklahoma. The main Greasers are Ponyboy, Dally, Sodapop,Darry, Johnnyboy,and the least ones are Two-bit and Steve. Ponyboy,Darry,and Sodapop are all brothers. They lost there parents in a car accident.Ponyboy,the youngest, and Johnnyboy , who is 16,get in some trouble with the Socs. The Socs are Cherry, Bob, Randy and Marcia. In the book one of the guys dies... but you have the read the book on your own.The "
1,Global Groove Mask,"This CD has a great pulsating driving rhythm. The different musical sensations can bring the emotional force to its explosive peek, it isnt your regular ""bump and grind."" Put this one in your CD player and get into the Global Groove. Loved it. THIS ONE IS A MUST ! ! ! ! Take the mask off and let the rhythm move you.........","Global Groove Mask This CD has a great pulsating driving rhythm. The different musical sensations can bring the emotional force to its explosive peek, it isnt your regular ""bump and grind."" Put this one in your CD player and get into the Global Groove. Loved it. THIS ONE IS A MUST ! ! ! ! Take the mask off and let the rhythm move you........."
1,Great book but lesser in the series,"All of the Shopaholic books are great but this one was not as good as the others. Don't get me wrong it is still worth reading and leaves the impression that there is more to come but it simply does not compare to the first three books.Becky is even more out of control than ever in this installment of the series, when she meets her long lost half sister, who happens to HATE shopping. Becky with her overwhelming desire to be the best sister ever (because she was always an only child) tries so hard to get her","Great book but lesser in the series All of the Shopaholic books are great but this one was not as good as the others. Don't get me wrong it is still worth reading and leaves the impression that there is more to come but it simply does not compare to the first three books.Becky is even more out of control than ever in this installment of the series, when she meets her long lost half sister, who happens to HATE shopping. Becky with her overwhelming desire to be the best sister ever (because she was always an only child) tries so hard to get her"
